"","cage","treatment","side","edge","variable","timecol","datecol","JMCcol","value","time","ts","tst","Date"
"142",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",35,26,"t2sw","t2sw26",2023-07-24
"143",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",107,26,"t2sw","t2sw26",2023-07-24
"144",3,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",340,26,"t2sw","t2sw26",2023-07-24
"145",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",6,26,"b2ne","b2ne26",2023-07-24
"146",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",18,26,"b2ne","b2ne26",2023-07-24
"147",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",69,26,"b2ne","b2ne26",2023-07-24
"148",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",80,26,"b2ne","b2ne26",2023-07-24
"149",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",175,26,"b2ne","b2ne26",2023-07-24
"150",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",197,26,"b2ne","b2ne26",2023-07-24
"151",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",128,26,"b2ne","b2ne26",2023-07-24
"152",4,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",56,26,"b2ne","b2ne26",2023-07-24
"153",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",149,26,"45sw","45sw26",2023-07-24
"154",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",263,26,"45sw","45sw26",2023-07-24
"155",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",382,26,"45sw","45sw26",2023-07-24
"156",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",343,26,"45sw","45sw26",2023-07-24
"157",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",207,26,"45sw","45sw26",2023-07-24
"158",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",124,26,"45sw","45sw26",2023-07-24
"159",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",188,26,"45sw","45sw26",2023-07-24
"160",5,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",134,26,"45sw","45sw26",2023-07-24
"161",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",114,26,"b2ne","b2ne26",2023-07-24
"162",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",44,26,"b2ne","b2ne26",2023-07-24
"163",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",63,26,"b2ne","b2ne26",2023-07-24
"164",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",122,26,"b2ne","b2ne26",2023-07-24
"165",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",143,26,"b2ne","b2ne26",2023-07-24
"166",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",116,26,"b2ne","b2ne26",2023-07-24
"167",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",224,26,"b2ne","b2ne26",2023-07-24
"168",6,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",213,26,"b2ne","b2ne26",2023-07-24
"169",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",556,26,"45sw","45sw26",2023-07-24
"170",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",185,26,"45sw","45sw26",2023-07-24
"171",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",102,26,"45sw","45sw26",2023-07-24
"172",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",191,26,"45sw","45sw26",2023-07-24
"173",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",220,26,"45sw","45sw26",2023-07-24
"174",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",136,26,"45sw","45sw26",2023-07-24
"175",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",598,26,"45sw","45sw26",2023-07-24
"176",7,"45","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",115,26,"45sw","45sw26",2023-07-24
"177",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",157,26,"b2ne","b2ne26",2023-07-24
"178",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",19,26,"b2ne","b2ne26",2023-07-24
"179",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",49,26,"b2ne","b2ne26",2023-07-24
"180",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",109,26,"b2ne","b2ne26",2023-07-24
"181",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",122,26,"b2ne","b2ne26",2023-07-24
"182",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",108,26,"b2ne","b2ne26",2023-07-24
"183",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",104,26,"b2ne","b2ne26",2023-07-24
"184",8,"b2","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",94,26,"b2ne","b2ne26",2023-07-24
"185",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",94,26,"t2sw","t2sw26",2023-07-24
"186",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",168,26,"t2sw","t2sw26",2023-07-24
"187",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",213,26,"t2sw","t2sw26",2023-07-24
"188",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",187,26,"t2sw","t2sw26",2023-07-24
"189",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",99,26,"t2sw","t2sw26",2023-07-24
"190",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",58,26,"t2sw","t2sw26",2023-07-24
"191",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",66,26,"t2sw","t2sw26",2023-07-24
"192",9,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",130,26,"t2sw","t2sw26",2023-07-24
"193",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",87,26,"45ne","45ne26",2023-07-24
"194",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",146,26,"45ne","45ne26",2023-07-24
"195",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",144,26,"45ne","45ne26",2023-07-24
"196",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",64,26,"45ne","45ne26",2023-07-24
"197",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",104,26,"45ne","45ne26",2023-07-24
"198",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",120,26,"45ne","45ne26",2023-07-24
"199",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",184,26,"45ne","45ne26",2023-07-24
"200",10,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",258,26,"45ne","45ne26",2023-07-24
"201",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",107,26,"b2sw","b2sw26",2023-07-24
"202",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",93,26,"b2sw","b2sw26",2023-07-24
"203",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",104,26,"b2sw","b2sw26",2023-07-24
"204",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",227,26,"b2sw","b2sw26",2023-07-24
"205",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",667,26,"b2sw","b2sw26",2023-07-24
"206",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",167,26,"b2sw","b2sw26",2023-07-24
"207",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",88,26,"b2sw","b2sw26",2023-07-24
"208",11,"b2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",243,26,"b2sw","b2sw26",2023-07-24
"209",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",63,26,"45ne","45ne26",2023-07-24
"210",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",61,26,"45ne","45ne26",2023-07-24
"211",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",48,26,"45ne","45ne26",2023-07-24
"212",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",76,26,"45ne","45ne26",2023-07-24
"213",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",182,26,"45ne","45ne26",2023-07-24
"214",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",237,26,"45ne","45ne26",2023-07-24
"215",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",108,26,"45ne","45ne26",2023-07-24
"216",12,"45","ne","n","time1-24Jul-PJ","time1","2023-07-24","PJ",28,26,"45ne","45ne26",2023-07-24
"217",13,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",215,26,"t2sw","t2sw26",2023-07-24
"218",13,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",103,26,"t2sw","t2sw26",2023-07-24
"219",13,"t2","sw","n","time1-24Jul-PJ","time1","2023-07-24","PJ",235,26,"t2sw","t2sw26",2023-07-24
